,,(horse?),,(horse?),,,,,,
,"Not Dunhill, not coffee, not yellow","Not Dunhill, not coffee, not dogs",,Not Dane,,"Not Pall Mall, not first","Not green, not first",Not Swede,"Not Dane, not green","not birds, not yellow"
,,,,,,,,,,
Norwegian,,Englishman,,,,Swede,Dane,,,
,blue,red,yellow,green,white,,,,,
,,,Dunhill,,,,,Pall Mall,,blend
,,,,coffee,,,tea,,milk,
,,,,,,dogs,,birds,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Norwegian,Dane,Englishman,Swede,German,,,,,,
yellow,blue,red,green,white,,,,,,
Dunhill,Blend,Pall Mall,?,Prince,,,,,,
water,tea,milk,coffee,?,,,,,,
cats,horses,birds,dogs,FISH,,,,,,
